Provinsi,Ketersediaan Air bersih (ribu m3),Kepadatan Penduduk  (jiwa/km2),Jumlah Sanitasi Layak
ACEH,54456,5333.7,1.057.223
SUMATERA UTARA,321041,14936.2,3.125.277
SUMATERA BARAT,105405,5580.2,1.012.909
RIAU,18547,6493.6,1.523.384
JAMBI,49333,2118.2,839.S62
SUMATERA SELATAN,197289,3585.1,1.983.335
BENGKULU,24848,8550.9,511.740
LAMPUNG,18232,1473.2,2.038.539
KEP. BANGKA BELITUNG,8211,2032.9,534.470
KEP. RIAU,95069,9081.8,610.484
DKI JAKARTA,495417,10609.7,2.660.976
JAWA BARAT,413526,48782.4,11.718.054
JAWA TENGAH,511207,12061.5,10.080.982
DI YOGYAKARTA,48303,36742.5,1.088.699
JAWA TIMUR,737083,3712.9,11.079.435
BANTEN,236878,40878.8,117.215
BALI,145650,5470.8,1.011.266
NUSA TENGGARA BARAT,83671,2702.2,1.333.507
NUSA TENGGARA TIMUR,34016,4122.6,1.079.819
KALIMANTAN BARAT,75795,3808.2,967.707
KALIMANTAN TENGAH,45902,713.6,533.722
KALIMANTAN SELATAN,115242,2638.6,921.679
KALIMANTAN TIMUR,200771,1181.0,860.4 18
KALIMANTAN UTARA,28384,3021.9,112.898
SULAWESI UTARA,32054,9139.5,588.233
SULAWESI TENGAH,21051,1436.8,632.196
SULAWESI SELATAN,149500,2659.2,2.175.940
SULAWESI TENGGARA,17519,4362.7,538.927
GORONTALO,20553,5390.0,251.272
SULAWESI BARAT,9292,5387.7,262.048
MALUKU,10034,1862.6,283.848
MALUKU UTARA,25824,1299.2,213.982
PAPUA BARAT,5464,1156.8,82.273
PAPUA,20127,4355.5,362.180
